"id";"surname";"rôle";"date_update"
1;;" Enseignant économie philosophie";
2;;" Président de l\association AIRE";
3;;" Essayiste";
4;;" Journaliste et essayiste";
5;;" Philosophe et économiste";
6;;" Philosophe";
7;;" Sociologue et professeur";
8;;" Economiste";
9;;" Economiste";
10;;" Association";
11;;" Journaliste";
12;;" Directeur chez Capital Innovation";
13;;" Docteur en économie";
14;;" Directeur de Positive Money europe";
15;;" Directeur d\intérêt général de EIGforever";
16;;" Directeur chez Grenoble-Alpes Métropole";
17;;" Association";
18;;" Socioloque et économiste";
19;;" Philosophe";
20;;" Statisticien et économiste";
21;;" Socioloque";
22;;" Politicienne de LREM";
23;;" Député La France Insoumise";
